datetime,Philadelphia
1/10/2012 12:00,
1/10/2012 13:00,285.63
1/10/2012 14:00,285.6632078
1/10/2012 15:00,285.7568241
1/10/2012 16:00,285.8504405
1/10/2012 17:00,285.9440568
1/10/2012 18:00,286.0376732
1/10/2012 19:00,286.1312895
1/10/2012 20:00,286.2249058
1/10/2012 21:00,286.3185222
1/10/2012 22:00,286.4121385
1/10/2012 23:00,286.5057549
2/10/2012 0:00,286.5993712
2/10/2012 1:00,286.6929876
2/10/2012 2:00,286.7866039
2/10/2012 3:00,286.8802202
2/10/2012 4:00,286.9738366
2/10/2012 5:00,287.0674529
2/10/2012 6:00,287.1610693
2/10/2012 7:00,287.2546856
2/10/2012 8:00,287.3483019
2/10/2012 9:00,287.4419183
2/10/2012 10:00,287.5355346
2/10/2012 11:00,287.629151
2/10/2012 12:00,287.7227673
2/10/2012 13:00,287.8163837
2/10/2012 14:00,287.91
2/10/2012 15:00,290.58
2/10/2012 16:00,291.7
2/10/2012 17:00,292.57
2/10/2012 18:00,293.74
2/10/2012 19:00,294.09
2/10/2012 20:00,294.15
2/10/2012 21:00,293.94
2/10/2012 22:00,292.06
2/10/2012 23:00,290.1
3/10/2012 0:00,289.69
3/10/2012 1:00,289.28
3/10/2012 2:00,289.06
3/10/2012 3:00,288.96
3/10/2012 4:00,288.63
3/10/2012 5:00,288.82
3/10/2012 6:00,288.86
3/10/2012 7:00,288.97
3/10/2012 8:00,289.08
3/10/2012 9:00,289.12
3/10/2012 10:00,289.26
3/10/2012 11:00,289.47
3/10/2012 12:00,290.26
3/10/2012 13:00,291.05
3/10/2012 14:00,291.52
3/10/2012 15:00,291.71
3/10/2012 16:00,291.9
3/10/2012 17:00,292.09
3/10/2012 18:00,291.48
3/10/2012 19:00,291.73
3/10/2012 20:00,291.83
3/10/2012 21:00,291.81
3/10/2012 22:00,291.905
3/10/2012 23:00,292
4/10/2012 0:00,291.99
4/10/2012 1:00,291.76
4/10/2012 2:00,291.76
4/10/2012 3:00,291.62
4/10/2012 4:00,291.53
4/10/2012 5:00,291.29
4/10/2012 6:00,291.15
4/10/2012 7:00,291.18
4/10/2012 8:00,291.26
4/10/2012 9:00,291.34
4/10/2012 10:00,291.46
4/10/2012 11:00,291.62
4/10/2012 12:00,291.94
4/10/2012 13:00,292.21
4/10/2012 14:00,293.22
4/10/2012 15:00,294.25
4/10/2012 16:00,295.42
4/10/2012 17:00,296.81
4/10/2012 18:00,298.22
4/10/2012 19:00,298.6
4/10/2012 20:00,298.55
4/10/2012 21:00,297.81
4/10/2012 22:00,296.76
4/10/2012 23:00,295.46
5/10/2012 0:00,294.39
5/10/2012 1:00,293.49
5/10/2012 2:00,293.2
5/10/2012 3:00,292.67
5/10/2012 4:00,292.29
5/10/2012 5:00,292.1
5/10/2012 6:00,292.03
5/10/2012 7:00,291.855
5/10/2012 8:00,291.68
5/10/2012 9:00,292.045
5/10/2012 10:00,292.41
5/10/2012 11:00,292.28
5/10/2012 12:00,292.63
5/10/2012 13:00,293.5
5/10/2012 14:00,294.33
5/10/2012 15:00,295.12
5/10/2012 16:00,295.87
5/10/2012 17:00,296.37
5/10/2012 18:00,296.95
5/10/2012 19:00,297.02
5/10/2012 20:00,296.91
5/10/2012 21:00,296.9
5/10/2012 22:00,296
5/10/2012 23:00,294.34
6/10/2012 0:00,292.84
6/10/2012 1:00,291.77
6/10/2012 2:00,290.97
6/10/2012 3:00,289.79
6/10/2012 4:00,289.02
6/10/2012 5:00,288.44
6/10/2012 6:00,288.05
6/10/2012 7:00,287.77
6/10/2012 8:00,287.34
6/10/2012 9:00,286.91
6/10/2012 10:00,286.78
6/10/2012 11:00,286.45
6/10/2012 12:00,287.41
6/10/2012 13:00,289.87
6/10/2012 14:00,292.68
6/10/2012 15:00,295.05
6/10/2012 16:00,296.68
6/10/2012 17:00,297.72
6/10/2012 18:00,298.3
6/10/2012 19:00,298.37
6/10/2012 20:00,298.41
6/10/2012 21:00,298.04
6/10/2012 22:00,296.51
6/10/2012 23:00,293.07
7/10/2012 0:00,291.59
7/10/2012 1:00,290.97
7/10/2012 2:00,290.73
7/10/2012 3:00,290.15
7/10/2012 4:00,289.66
7/10/2012 5:00,289.16
7/10/2012 6:00,288.6366667
7/10/2012 7:00,288.1133333
7/10/2012 8:00,287.59
7/10/2012 9:00,287.72
7/10/2012 10:00,288.33
7/10/2012 11:00,288.78
7/10/2012 12:00,290
7/10/2012 13:00,292.18
7/10/2012 14:00,294.36
7/10/2012 15:00,295.78
7/10/2012 16:00,296.12
7/10/2012 17:00,296
7/10/2012 18:00,295.55
7/10/2012 19:00,293.96
7/10/2012 20:00,293.03
7/10/2012 21:00,292.24
7/10/2012 22:00,289.89
7/10/2012 23:00,288.11
8/10/2012 0:00,286.58
8/10/2012 1:00,285.38
8/10/2012 2:00,284.2
8/10/2012 3:00,283.34
8/10/2012 4:00,282.71
8/10/2012 5:00,282.65
8/10/2012 6:00,282.06
8/10/2012 7:00,281.15
8/10/2012 8:00,280.3
8/10/2012 9:00,279.78
8/10/2012 10:00,279.57
8/10/2012 11:00,280.45
8/10/2012 12:00,281.67
8/10/2012 13:00,282.64
8/10/2012 14:00,283.15
8/10/2012 15:00,283.17
8/10/2012 16:00,282.86
8/10/2012 17:00,283.12
8/10/2012 18:00,283.37
8/10/2012 19:00,283.45
8/10/2012 20:00,283.68
8/10/2012 21:00,283.44
8/10/2012 22:00,283.28
8/10/2012 23:00,282.79
9/10/2012 0:00,282.22
9/10/2012 1:00,282.06
9/10/2012 2:00,281.86
9/10/2012 3:00,280.83
9/10/2012 4:00,279.99
9/10/2012 5:00,279.91
9/10/2012 6:00,279.52
9/10/2012 7:00,279.21
9/10/2012 8:00,278.415
9/10/2012 9:00,277.62
9/10/2012 10:00,277.65
9/10/2012 11:00,277.69
9/10/2012 12:00,278.74
9/10/2012 13:00,280.32
9/10/2012 14:00,281.22
9/10/2012 15:00,282.14
9/10/2012 16:00,282.68
9/10/2012 17:00,282.99
9/10/2012 18:00,283.68
9/10/2012 19:00,283.88
9/10/2012 20:00,283.71
9/10/2012 21:00,283.55
9/10/2012 22:00,282.98
9/10/2012 23:00,282.66
10/10/2012 0:00,282.39
10/10/2012 1:00,282.16
10/10/2012 2:00,281.94
10/10/2012 3:00,281.94
10/10/2012 4:00,281.98
10/10/2012 5:00,281.82
10/10/2012 6:00,282.05
10/10/2012 7:00,282.2
10/10/2012 8:00,282.28
10/10/2012 9:00,282.1733333
10/10/2012 10:00,282.0666667
10/10/2012 11:00,281.96
10/10/2012 12:00,282.36
10/10/2012 13:00,282.9
10/10/2012 14:00,283.51
10/10/2012 15:00,284.35
10/10/2012 16:00,285.07
10/10/2012 17:00,285.72
10/10/2012 18:00,286.25
10/10/2012 19:00,286.41
10/10/2012 20:00,286.45
10/10/2012 21:00,286.16
10/10/2012 22:00,287.28
10/10/2012 23:00,288.4
11/10/2012 0:00,288.4
11/10/2012 1:00,288.4
11/10/2012 2:00,288.4
11/10/2012 3:00,288.4
11/10/2012 4:00,288.4
11/10/2012 5:00,287.155
11/10/2012 6:00,285.91
11/10/2012 7:00,286.01
11/10/2012 8:00,286.25
11/10/2012 9:00,286.25
11/10/2012 10:00,286.33
11/10/2012 11:00,286.33
11/10/2012 12:00,286.68
11/10/2012 13:00,287.03
11/10/2012 14:00,287.79
11/10/2012 15:00,288.42
11/10/2012 16:00,288.94
11/10/2012 17:00,289.46
11/10/2012 18:00,289.98
11/10/2012 19:00,290.5
11/10/2012 20:00,290.5
11/10/2012 21:00,290.21
11/10/2012 22:00,288.62
11/10/2012 23:00,287.7
12/10/2012 0:00,288.03
12/10/2012 1:00,287.29
12/10/2012 2:00,286.12
12/10/2012 3:00,284.93
12/10/2012 4:00,283.54
12/10/2012 5:00,282.38
12/10/2012 6:00,281.85
12/10/2012 7:00,281.69
12/10/2012 8:00,281.15
12/10/2012 9:00,280.93
12/10/2012 10:00,280.51
12/10/2012 11:00,280.06
12/10/2012 12:00,280.94
12/10/2012 13:00,282.53
12/10/2012 14:00,283.83
12/10/2012 15:00,284.84
12/10/2012 16:00,285.71
12/10/2012 17:00,286.37
12/10/2012 18:00,287.18
12/10/2012 19:00,287.57
12/10/2012 20:00,287.75
12/10/2012 21:00,287.36
12/10/2012 22:00,285.86
12/10/2012 23:00,283.1
13/10/2012 0:00,283.76
13/10/2012 1:00,284.42
13/10/2012 2:00,285.08
13/10/2012 3:00,285.74
13/10/2012 4:00,286.4
13/10/2012 5:00,278.6
13/10/2012 6:00,277.91
13/10/2012 7:00,277.5
13/10/2012 8:00,276.99
13/10/2012 9:00,277.11
13/10/2012 10:00,277.07
13/10/2012 11:00,277.25
13/10/2012 12:00,279.09
13/10/2012 13:00,282.29
13/10/2012 14:00,285.69
13/10/2012 15:00,286.86
13/10/2012 16:00,287.75
13/10/2012 17:00,287.39
13/10/2012 18:00,287.79
13/10/2012 19:00,286.78
13/10/2012 20:00,286.19
13/10/2012 21:00,285.56
13/10/2012 22:00,284.72
13/10/2012 23:00,283.13
14/10/2012 0:00,281.64
14/10/2012 1:00,280.29
14/10/2012 2:00,279.41
14/10/2012 3:00,278.71
14/10/2012 4:00,278.1
14/10/2012 5:00,276.49
14/10/2012 6:00,274.95
14/10/2012 7:00,274.06
14/10/2012 8:00,273.42
14/10/2012 9:00,273.3
14/10/2012 10:00,272.83
14/10/2012 11:00,272.75
14/10/2012 12:00,274.03
14/10/2012 13:00,278.06
14/10/2012 14:00,281.03
14/10/2012 15:00,282.69
14/10/2012 16:00,283.57
14/10/2012 17:00,284.6
14/10/2012 18:00,285.45
14/10/2012 19:00,285.99
14/10/2012 20:00,286.21
14/10/2012 21:00,285.86
14/10/2012 22:00,284.27
14/10/2012 23:00,281.67
15/10/2012 0:00,281.24
15/10/2012 1:00,280.44
15/10/2012 2:00,279.75
15/10/2012 3:00,279.5
15/10/2012 4:00,279.33
15/10/2012 5:00,280.6
15/10/2012 6:00,281.71
15/10/2012 7:00,282.55
15/10/2012 8:00,282.8
15/10/2012 9:00,282.27
15/10/2012 10:00,283.23
15/10/2012 11:00,283.24
15/10/2012 12:00,283.85
15/10/2012 13:00,286.04
15/10/2012 14:00,288.44
15/10/2012 15:00,290.64
15/10/2012 16:00,291.63
15/10/2012 17:00,293
15/10/2012 18:00,294.26
15/10/2012 19:00,294.83
15/10/2012 20:00,294.82
15/10/2012 21:00,294.13
15/10/2012 22:00,292.78
15/10/2012 23:00,291.16
16/10/2012 0:00,290.63
16/10/2012 1:00,290.49
16/10/2012 2:00,290.34
16/10/2012 3:00,290.07
16/10/2012 4:00,289.76
16/10/2012 5:00,289.57
16/10/2012 6:00,289.72
16/10/2012 7:00,290.02
16/10/2012 8:00,290.09
16/10/2012 9:00,290.31
16/10/2012 10:00,290.51
16/10/2012 11:00,290.43
16/10/2012 12:00,290.9
16/10/2012 13:00,292.14
16/10/2012 14:00,292.71
16/10/2012 15:00,292.78
16/10/2012 16:00,291.51
16/10/2012 17:00,290.93
16/10/2012 18:00,290.93
16/10/2012 19:00,290.81
16/10/2012 20:00,290.55
16/10/2012 21:00,290.17
16/10/2012 22:00,289.44
16/10/2012 23:00,288.86
17/10/2012 0:00,288.71
17/10/2012 1:00,288.25
17/10/2012 2:00,288.05
17/10/2012 3:00,287.35
17/10/2012 4:00,286.6
17/10/2012 5:00,284.99
17/10/2012 6:00,284.42
17/10/2012 7:00,283.34
17/10/2012 8:00,282.96
17/10/2012 9:00,282.81
17/10/2012 10:00,282.7
17/10/2012 11:00,282.51
17/10/2012 12:00,283.09
17/10/2012 13:00,284.76
17/10/2012 14:00,285.61
17/10/2012 15:00,286.31
17/10/2012 16:00,287.07
17/10/2012 17:00,287.64
17/10/2012 18:00,287.96
17/10/2012 19:00,288.01
17/10/2012 20:00,288.12
17/10/2012 21:00,287.87
17/10/2012 22:00,286.59
17/10/2012 23:00,283.65
18/10/2012 0:00,282.07
18/10/2012 1:00,280.96
18/10/2012 2:00,280.11
18/10/2012 3:00,279.64
18/10/2012 4:00,278.73
18/10/2012 5:00,278.45
18/10/2012 6:00,278.1
18/10/2012 7:00,277.75
18/10/2012 8:00,277.35
18/10/2012 9:00,276.99
18/10/2012 10:00,276.8
18/10/2012 11:00,276.53
18/10/2012 12:00,277.68
18/10/2012 13:00,279.99
18/10/2012 14:00,283.44
18/10/2012 15:00,285.7
18/10/2012 16:00,287.77
18/10/2012 17:00,288.2
18/10/2012 18:00,289.04
18/10/2012 19:00,289.34
18/10/2012 20:00,289.48
18/10/2012 21:00,288.94
18/10/2012 22:00,287.47
18/10/2012 23:00,285.15
19/10/2012 0:00,283.07
19/10/2012 1:00,281.96
19/10/2012 2:00,281.42
19/10/2012 3:00,281.11
19/10/2012 4:00,280.5
19/10/2012 5:00,280.19
19/10/2012 6:00,279.88
19/10/2012 7:00,279.65
19/10/2012 8:00,279.66
19/10/2012 9:00,279.32
19/10/2012 10:00,279.54
19/10/2012 11:00,279.82
19/10/2012 12:00,281.01
19/10/2012 13:00,284.53
19/10/2012 14:00,288.61
19/10/2012 15:00,290.61
19/10/2012 16:00,291.95
19/10/2012 17:00,293.02
19/10/2012 18:00,293.46
19/10/2012 19:00,293.79
19/10/2012 20:00,292.81
19/10/2012 21:00,292.1
19/10/2012 22:00,290.87
19/10/2012 23:00,290.27
20/10/2012 0:00,289.8
20/10/2012 1:00,289.79
20/10/2012 2:00,289.84
20/10/2012 3:00,290.19
20/10/2012 4:00,290.38
20/10/2012 5:00,290.45
20/10/2012 6:00,290.61
20/10/2012 7:00,290.68
20/10/2012 8:00,290.44
20/10/2012 9:00,290.4
20/10/2012 10:00,290.37
20/10/2012 11:00,290.72
20/10/2012 12:00,290.99
20/10/2012 13:00,291.48
20/10/2012 14:00,291.64
20/10/2012 15:00,291.87
20/10/2012 16:00,292.22
20/10/2012 17:00,292.87
20/10/2012 18:00,293.53
20/10/2012 19:00,294.95
20/10/2012 20:00,294.95
20/10/2012 21:00,294.58
20/10/2012 22:00,293.79
20/10/2012 23:00,292.6
21/10/2012 0:00,291.99
21/10/2012 1:00,291.4
21/10/2012 2:00,290.99
21/10/2012 3:00,290.05
21/10/2012 4:00,289.24
21/10/2012 5:00,288.51
21/10/2012 6:00,288.15625
21/10/2012 7:00,287.8025
21/10/2012 8:00,287.44875
21/10/2012 9:00,287.095
21/10/2012 10:00,286.74125
21/10/2012 11:00,286.3875
21/10/2012 12:00,286.03375
21/10/2012 13:00,285.68
21/10/2012 14:00,285.9166667
21/10/2012 15:00,286.1533333
21/10/2012 16:00,286.39
21/10/2012 17:00,286.6266667
21/10/2012 18:00,286.8633333
21/10/2012 19:00,287.1
21/10/2012 20:00,287.3366667
21/10/2012 21:00,287.5733333
21/10/2012 22:00,287.81
21/10/2012 23:00,286.07
22/10/2012 0:00,285.1525
22/10/2012 1:00,284.235
22/10/2012 2:00,283.3175
22/10/2012 3:00,282.4
22/10/2012 4:00,281.9
22/10/2012 5:00,282.03
22/10/2012 6:00,281.99
22/10/2012 7:00,281.75
22/10/2012 8:00,281.48
22/10/2012 9:00,280.85
22/10/2012 10:00,280.45
22/10/2012 11:00,280.48
22/10/2012 12:00,281.985
22/10/2012 13:00,283.49
22/10/2012 14:00,284.995
22/10/2012 15:00,286.5
22/10/2012 16:00,288.98
22/10/2012 17:00,289.53
22/10/2012 18:00,290.25
22/10/2012 19:00,290.33
22/10/2012 20:00,290.52
22/10/2012 21:00,289.9
22/10/2012 22:00,288.32
22/10/2012 23:00,286.61
23/10/2012 0:00,285.31
23/10/2012 1:00,284.39
23/10/2012 2:00,282.9
23/10/2012 3:00,282.18
23/10/2012 4:00,282.02
23/10/2012 5:00,281.6
23/10/2012 6:00,281.28
23/10/2012 7:00,281.11
23/10/2012 8:00,280.45
23/10/2012 9:00,279.93
23/10/2012 10:00,279.37
23/10/2012 11:00,279.35
23/10/2012 12:00,280.7
23/10/2012 13:00,284.06
23/10/2012 14:00,286.91
23/10/2012 15:00,288.73
23/10/2012 16:00,289.91
23/10/2012 17:00,290.91
23/10/2012 18:00,291.39
23/10/2012 19:00,292.03
23/10/2012 20:00,292.1
23/10/2012 21:00,291.79
23/10/2012 22:00,290.06
23/10/2012 23:00,288.2
24/10/2012 0:00,286.18
24/10/2012 1:00,284.96
24/10/2012 2:00,284.21
24/10/2012 3:00,283.38
24/10/2012 4:00,282.78
24/10/2012 5:00,282.52
24/10/2012 6:00,282.18
24/10/2012 7:00,281.65
24/10/2012 8:00,281.41
24/10/2012 9:00,281.37
24/10/2012 10:00,281.38
24/10/2012 11:00,282.08
24/10/2012 12:00,283.27
24/10/2012 13:00,285.07
24/10/2012 14:00,286.83
24/10/2012 15:00,287.76
24/10/2012 16:00,288.92
24/10/2012 17:00,290.47
24/10/2012 18:00,291.49
24/10/2012 19:00,292.32
24/10/2012 20:00,293.29
24/10/2012 21:00,292.75
24/10/2012 22:00,291.37
24/10/2012 23:00,289.8
25/10/2012 0:00,288.84
25/10/2012 1:00,288.46
25/10/2012 2:00,288.22
25/10/2012 3:00,287.98
25/10/2012 4:00,287.23
25/10/2012 5:00,286.18
25/10/2012 6:00,285.61
25/10/2012 7:00,285.65
25/10/2012 8:00,285.73
25/10/2012 9:00,285.4
25/10/2012 10:00,284.84
25/10/2012 11:00,284.54
25/10/2012 12:00,284.97
25/10/2012 13:00,286.7
25/10/2012 14:00,288.23
25/10/2012 15:00,289.76
25/10/2012 16:00,291.74
25/10/2012 17:00,293.58
25/10/2012 18:00,294.71
25/10/2012 19:00,295.8
25/10/2012 20:00,295.96
25/10/2012 21:00,295.03
25/10/2012 22:00,292.65
25/10/2012 23:00,290.7
26/10/2012 0:00,289.98
26/10/2012 1:00,288.96
26/10/2012 2:00,288.34
26/10/2012 3:00,288.14
26/10/2012 4:00,288.07
26/10/2012 5:00,288
26/10/2012 6:00,287.98
26/10/2012 7:00,287.85
26/10/2012 8:00,287.78
26/10/2012 9:00,287.6
26/10/2012 10:00,287.6
26/10/2012 11:00,287.29
26/10/2012 12:00,287.46
26/10/2012 13:00,287.96
26/10/2012 14:00,288.21
26/10/2012 15:00,288.72
26/10/2012 16:00,289.19
26/10/2012 17:00,289.47
26/10/2012 18:00,289.49
26/10/2012 19:00,289.73
26/10/2012 20:00,289.53
26/10/2012 21:00,289.4
26/10/2012 22:00,289.08
26/10/2012 23:00,288.97
27/10/2012 0:00,288.9
27/10/2012 1:00,288.75
27/10/2012 2:00,288.57
27/10/2012 3:00,288.44
27/10/2012 4:00,288.44
27/10/2012 5:00,288.36
27/10/2012 6:00,288.21
27/10/2012 7:00,288.1
27/10/2012 8:00,288.07
27/10/2012 9:00,287.99
27/10/2012 10:00,287.82
27/10/2012 11:00,287.89
27/10/2012 12:00,288.14
27/10/2012 13:00,288.57
27/10/2012 14:00,289.26
27/10/2012 15:00,289.41
27/10/2012 16:00,290.74
27/10/2012 17:00,291.31
27/10/2012 18:00,291.88
27/10/2012 19:00,292.1
27/10/2012 20:00,291.79
27/10/2012 21:00,291.39
27/10/2012 22:00,290.99
27/10/2012 23:00,290.58
28/10/2012 0:00,290.33
28/10/2012 1:00,289.4
28/10/2012 2:00,289.05
28/10/2012 3:00,288.76
28/10/2012 4:00,288.78
28/10/2012 5:00,288.6
28/10/2012 6:00,288.71
28/10/2012 7:00,288.32
28/10/2012 8:00,288.22
28/10/2012 9:00,288.28
28/10/2012 10:00,288.31
28/10/2012 11:00,288.35
28/10/2012 12:00,288.42
28/10/2012 13:00,288.79
28/10/2012 14:00,289.36
28/10/2012 15:00,290.08
28/10/2012 16:00,290.45
28/10/2012 17:00,290.91
28/10/2012 18:00,291.05
28/10/2012 19:00,291.22
28/10/2012 20:00,290.98
28/10/2012 21:00,290.28
28/10/2012 22:00,289.27
28/10/2012 23:00,288.71
29/10/2012 0:00,288.04
29/10/2012 1:00,287.57
29/10/2012 2:00,287.19
29/10/2012 3:00,287.06
29/10/2012 4:00,287.2
29/10/2012 5:00,287.19
29/10/2012 6:00,287.13
29/10/2012 7:00,287.19
29/10/2012 8:00,287.09
29/10/2012 9:00,286.82
29/10/2012 10:00,286.38
29/10/2012 11:00,285.63
29/10/2012 12:00,285
29/10/2012 13:00,284.92
29/10/2012 14:00,285.15
29/10/2012 15:00,285.32
29/10/2012 16:00,285.73
29/10/2012 17:00,286.14
29/10/2012 18:00,286.59
29/10/2012 19:00,286.58
29/10/2012 20:00,285.95
29/10/2012 21:00,285.55
29/10/2012 22:00,285.33
29/10/2012 23:00,284.97
30/10/2012 0:00,285.08
30/10/2012 1:00,285.15
30/10/2012 2:00,285.5
30/10/2012 3:00,285.8
30/10/2012 4:00,286.08
30/10/2012 5:00,285.94
30/10/2012 6:00,285.62
30/10/2012 7:00,285.3
30/10/2012 8:00,284.72
30/10/2012 9:00,284.47
30/10/2012 10:00,284.21
30/10/2012 11:00,284.29
30/10/2012 12:00,283.93
30/10/2012 13:00,283.91
30/10/2012 14:00,283.92
30/10/2012 15:00,284.11
30/10/2012 16:00,284.57
30/10/2012 17:00,285.04
30/10/2012 18:00,285.3
30/10/2012 19:00,285.61
30/10/2012 20:00,286.2
30/10/2012 21:00,286.79
30/10/2012 22:00,287.55
30/10/2012 23:00,288.43
31/10/2012 0:00,288.43
31/10/2012 1:00,286.92
31/10/2012 2:00,286.71
31/10/2012 3:00,285.2
31/10/2012 4:00,283.82
31/10/2012 5:00,282.85
31/10/2012 6:00,282.03
31/10/2012 7:00,281
31/10/2012 8:00,281.93
31/10/2012 9:00,280.5
31/10/2012 10:00,280.65
31/10/2012 11:00,280.74
31/10/2012 12:00,280.6
31/10/2012 13:00,280.49
31/10/2012 14:00,280.33
